[2026-07-09T09:53:10.773Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/hsbc.svg → 200 (4ms, 1885B)
[2026-07-09T09:53:10.773Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/onezero.svg → pending (?ms, ?B)
[2026-07-09T09:53:10.773Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/wise.svg → 200 (5ms, 1488B)
[2026-07-09T09:53:10.788Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2 → 200 (?ms, 37956B)
[2026-07-09T09:53:10.788Z] GET https://fonts.gstatic.com/s/spacemono/v17/i7dMIFZifjKcF5UAWdDRaPpZUFWaHg.woff2 → 200 (1ms, 16724B)
[2026-07-09T09:53:10.788Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/dollar-bill.jpg → 200 (2ms, 392478B)
[2026-07-09T09:54:18.962Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/index.html → 200 (2ms, 22344B)
[2026-07-09T09:54:18.968Z] GET https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;600;700;800;900&family=Space+Mono:wght@400;700&display=swap → 200 (2ms, 13850B)
[2026-07-09T09:54:18.968Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/steelhatch.png → 200 (1ms, 31280B)
[2026-07-09T09:54:18.968Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-1.svg → 200 (1ms, 320B)
[2026-07-09T09:54:18.968Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-2.svg → 200 (3ms, 417B)
[2026-07-09T09:54:18.968Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-3.svg → 200 (3ms, 436B)
[2026-07-09T09:54:18.968Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-4.svg → 200 (4ms, 298B)
[2026-07-09T09:54:18.969Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/binance.png → 200 (3ms, 16680B)
[2026-07-09T09:54:18.969Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/xapo.png → 200 (4ms, 23770B)
[2026-07-09T09:54:18.969Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/primexm.png → 200 (5ms, 17233B)
[2026-07-09T09:54:18.969Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/hsbc.svg → 200 (5ms, 1885B)
[2026-07-09T09:54:18.969Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/onezero.svg → pending (?ms, ?B)
[2026-07-09T09:54:18.969Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/wise.svg → 200 (6ms, 1488B)
[2026-07-09T09:54:18.977Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2 → 200 (3ms, 37956B)
[2026-07-09T09:54:18.977Z] GET https://fonts.gstatic.com/s/spacemono/v17/i7dMIFZifjKcF5UAWdDRaPpZUFWaHg.woff2 → 200 (3ms, 16724B)
[2026-07-09T09:54:18.980Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/dollar-bill.jpg → 200 (?ms, 392478B)
[2026-07-09T09:54:22.795Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/index.html → 200 (2ms, 22344B)
[2026-07-09T09:54:22.803Z] GET https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;600;700;800;900&family=Space+Mono:wght@400;700&display=swap → 200 (1ms, 13850B)
[2026-07-09T09:54:22.803Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/steelhatch.png → 200 (3ms, 31280B)
[2026-07-09T09:54:22.803Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-1.svg → 200 (4ms, 320B)
[2026-07-09T09:54:22.803Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-2.svg → 200 (4ms, 417B)
[2026-07-09T09:54:22.803Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-3.svg → 200 (5ms, 436B)
[2026-07-09T09:54:22.803Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-4.svg → 200 (7ms, 298B)
[2026-07-09T09:54:22.803Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/binance.png → 200 (7ms, 16680B)
[2026-07-09T09:54:22.803Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/xapo.png → 200 (7ms, 23770B)
[2026-07-09T09:54:22.803Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/primexm.png → 200 (7ms, 17233B)
[2026-07-09T09:54:22.803Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/hsbc.svg → 200 (8ms, 1885B)
[2026-07-09T09:54:22.804Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/onezero.svg → pending (?ms, ?B)
[2026-07-09T09:54:22.804Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/wise.svg → 200 (8ms, 1488B)
[2026-07-09T09:54:22.806Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2 → 200 (2ms, 37956B)
[2026-07-09T09:54:22.806Z] GET https://fonts.gstatic.com/s/spacemono/v17/i7dMIFZifjKcF5UAWdDRaPpZUFWaHg.woff2 → 200 (4ms, 16724B)
[2026-07-09T09:54:22.838Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/dollar-bill.jpg → 200 (1ms, 392478B)
[2026-07-09T09:54:26.467Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/index.html → 200 (1ms, 22344B)
[2026-07-09T09:54:26.473Z] GET https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;600;700;800;900&family=Space+Mono:wght@400;700&display=swap → 200 (1ms, 13850B)
[2026-07-09T09:54:26.473Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/steelhatch.png → 200 (?ms, 31280B)
[2026-07-09T09:54:26.473Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-1.svg → 200 (?ms, 320B)
[2026-07-09T09:54:26.473Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-2.svg → 200 (2ms, 417B)
[2026-07-09T09:54:26.473Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-3.svg → 200 (2ms, 436B)
[2026-07-09T09:54:26.473Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-4.svg → 200 (2ms, 298B)
[2026-07-09T09:54:26.473Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/binance.png → 200 (3ms, 16680B)
[2026-07-09T09:54:26.473Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/xapo.png → 200 (3ms, 23770B)
[2026-07-09T09:54:26.473Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/primexm.png → 200 (3ms, 17233B)
[2026-07-09T09:54:26.473Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/hsbc.svg → 200 (5ms, 1885B)
[2026-07-09T09:54:26.473Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/onezero.svg → pending (?ms, ?B)
[2026-07-09T09:54:26.473Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/wise.svg → 200 (5ms, 1488B)
[2026-07-09T09:54:26.481Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2 → 200 (3ms, 37956B)
[2026-07-09T09:54:26.481Z] GET https://fonts.gstatic.com/s/spacemono/v17/i7dMIFZifjKcF5UAWdDRaPpZUFWaHg.woff2 → 200 (5ms, 16724B)
[2026-07-09T09:54:26.484Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/dollar-bill.jpg → 200 (2ms, 392478B)
[2026-07-09T09:55:17.544Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/index.html → 200 (1ms, 22777B)
[2026-07-09T09:55:17.550Z] GET https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;600;700;800;900&family=Space+Mono:wght@400;700&display=swap → 200 (1ms, 13850B)
[2026-07-09T09:55:17.550Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/steelhatch.png → 200 (?ms, 31280B)
[2026-07-09T09:55:17.550Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-1.svg → 200 (?ms, 320B)
[2026-07-09T09:55:17.550Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-2.svg → 200 (1ms, 417B)
[2026-07-09T09:55:17.550Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-3.svg → 200 (2ms, 436B)
[2026-07-09T09:55:17.550Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-4.svg → 200 (3ms, 298B)
[2026-07-09T09:55:17.550Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/binance.png → 200 (3ms, 16680B)
[2026-07-09T09:55:17.550Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/xapo.png → 200 (3ms, 23770B)
[2026-07-09T09:55:17.550Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/primexm.png → 200 (4ms, 17233B)
[2026-07-09T09:55:17.550Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/hsbc.svg → 200 (4ms, 1885B)
[2026-07-09T09:55:17.550Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/onezero.svg → pending (?ms, ?B)
[2026-07-09T09:55:17.550Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/wise.svg → 200 (5ms, 1488B)
[2026-07-09T09:55:17.559Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2 → 200 (1ms, 37956B)
[2026-07-09T09:55:17.559Z] GET https://fonts.gstatic.com/s/spacemono/v17/i7dMIFZifjKcF5UAWdDRaPpZUFWaHg.woff2 → 200 (25ms, 16724B)
[2026-07-09T09:55:17.583Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/dollar-bill.jpg → 200 (2ms, ?B)
[2026-07-09T09:55:23.662Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/index.html → 200 (1ms, 22777B)
[2026-07-09T09:55:23.667Z] GET https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;600;700;800;900&family=Space+Mono:wght@400;700&display=swap → 200 (2ms, 13850B)
[2026-07-09T09:55:23.667Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/steelhatch.png → 200 (1ms, 31280B)
[2026-07-09T09:55:23.667Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-1.svg → 200 (2ms, 320B)
[2026-07-09T09:55:23.667Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-2.svg → 200 (2ms, 417B)
[2026-07-09T09:55:23.667Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-3.svg → 200 (3ms, 436B)
[2026-07-09T09:55:23.667Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-4.svg → 200 (3ms, 298B)
[2026-07-09T09:55:23.667Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/binance.png → 200 (4ms, 16680B)
[2026-07-09T09:55:23.667Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/xapo.png → 200 (4ms, 23770B)
[2026-07-09T09:55:23.667Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/primexm.png → 200 (4ms, 17233B)
[2026-07-09T09:55:23.667Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/hsbc.svg → 200 (5ms, 1885B)
[2026-07-09T09:55:23.667Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/onezero.svg → pending (?ms, ?B)
[2026-07-09T09:55:23.667Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/wise.svg → 200 (6ms, 1488B)
[2026-07-09T09:55:23.675Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2 → 200 (?ms, 37956B)
